S.N.,Stock Name,Stock Symbol,Sector,Total Shares
121,Himalaya Urja Bikas Company Limited,HURJA,Hydro Power,"9,900,000.00"
122,Himalayan Bank Limited,HBL,Commercial Banks,"129,687,256.00"
123,Himalayan Distillery Limited,HDL,Manufacturing And Processing,"15,184,791.00"
124,Himalayan Finance Limited (Bittiya Sanstha),HFL,Finance,"1,400,000.00"
125,Himalayan General Insurance Co. Ltd,HGI,Non Life Insurance,"11,735,091.00"
126,Himalayan Power Partner Ltd.,HPPL,Hydro Power,"10,654,170.00"
127,Hydorelectricity Investment and Development Company Ltd,HIDCL,Investment,"237,600,000.00"
128,ICFC Finance Limited,ICFC,Finance,"11,271,152.00"
129,IME General Insurance Ltd.,IGI,Non Life Insurance,"16,206,204.00"
130,Infinity Laghubitta Bittiya Sanstha Limited,ILBS,Microfinance,"4,145,133.00"
131,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,JALPA,Microfinance,"1,600,000.00"
132,Janaki Finance Company Limited,JFL,Finance,"6,904,728.00"
133,Janata Bank Nepal Ltd.,JBNL,Commercial Banks,"80,007,858.00"
134,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,JSLBB,Microfinance,"1,479,060.00"
135,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,JBLB,Microfinance,"10,342,800.00"
136,Joshi Hydropower Development Company Ltd,JOSHI,Hydro Power,"3,714,000.00"
137,Jyoti Bikas Bank Limited,JBBL,Development Banks,"42,677,534.00"
138,Jyoti Bikash Bank Bond 2087,JBBD87,Corporate Debenture,0.00
139,Jyoti Life Insurance Company Limited,JLI,Life Insurance,"24,200,000.00"
140,Jyoti Sinning Mills Limited,JSM,Manufacturing And Processing,"1,270,288.00"
141,Kalika Laghubitta Bittiya Sanstha Ltd,KMCDB,Microfinance,"3,128,755.00"
142,Kalika power Company Ltd,KPCL,Hydro Power,"6,900,000.00"
143,Kamana Sewa Bikas Bank Limited,KSBBL,Development Banks,"31,425,771.00"
144,Kankai Bikas Bank Ltd.,KNBL,Development Banks,"5,150,000.00"
145,Karnali Development Bank Limited,KRBL,Development Banks,"5,300,100.00"
146,Khanikhola Hydropower Co. Ltd.,KKHC,Hydro Power,"4,657,143.00"
147,Kisan Lagubitta Bittiya Sanstha Limited,KLBSL,Microfinance,"4,713,706.00"
148,Kumari Bank Limited,KBL,Commercial Banks,"147,111,834.00"
149,Kumari Equity Fund,KEF,Mutual Fund,"100,000,000.00"
150,Lalitpur Finance Ltd.,LFC,Finance,"1,878,697.00"
151,Laxmi Bank Limited,LBL,Commercial Banks,"115,513,451.00"
152,Laxmi Equity Fund,LEMF,Mutual Fund,"125,000,000.00"
153,Laxmi Laghubitta Bittiya Sanstha Ltd.,LLBS,Microfinance,"3,840,540.00"
154,Laxmi Unnati Kosh,LUK,Mutual Fund,"65,262,360.00"
155,Liberty Energy Company Limited,LEC,Hydro Power,"15,000,000.00"
156,Life Insurance Corporation (Nepal) Limited,LICN,Life Insurance,"26,532,000.00"
157,Lumbini Bikas Bank Ltd.,LBBL,Development Banks,"32,842,926.00"
158,Lumbini General Insurance Co. Ltd.,LGIL,Non Life Insurance,"13,127,846.00"
159,Machhapuchhre Bank Limited,MBL,Commercial Banks,"102,571,556.00"
160,Madhya Bhotekoshi Jalavidyut Company Limited,MBJC,Hydro Power,"60,000,000.00"
161,Mahalaxmi Bikas Bank Ltd.,MLBL,Development Banks,"40,108,833.00"
162,Mahila Lagubitta Bittiya Sanstha Limited,MLBSL,Microfinance,"1,475,000.00"
163,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,MSMBS,Microfinance,"1,464,100.00"
164,Mahuli Laghubitta Bittiya Sanstha Limited,MSLB,Microfinance,"2,821,694.00"
165,Mailung Khola Jal Vidhyut Company Limited,MKJC,Hydro Power,"3,681,430.00"
166,Manakamana Smart Laghubitta Bittiya Sanstha Limited,MKLB,Microfinance,"1,417,455.00"
167,Manjushree Finance Ltd.,MFIL,Finance,"13,515,529.00"
168,Manushi Laghubitta Bittiya Sanstha Limited,MLBS,Microfinance,"1,093,750.00"
169,Mega  Bank Nepal Ltd.,MEGA,Commercial Banks,"161,204,615.00"
170,Mega Mutual Fund -1,MMF1,Mutual Fund,"125,000,000.00"
171,Mero Microfinance Bittiya Sanstha Ltd.,MERO,Microfinance,"12,000,000.00"
172,Mirmire Microfinance Development Bank Ltd.,MMFDB,Microfinance,"5,220,856.00"
173,Miteri Development Bank Limited,MDB,Development Banks,"9,034,281.00"
174,Mithila LaghuBitta Bittiya Sanstha Limited,MLBBL,Microfinance,"1,704,373.00"
175,Mountain Energy Nepal Limited,MEN,Hydro Power,"19,680,270.00"
176,Mountain Hydro Nepal Limited,MHNL,Hydro Power,"12,500,000.00"
177,Muktinath Bikas Bank Ltd.,MNBBL,Development Banks,"56,571,809.00"
178,Muktinath Debenture 2084/85,MND84/85,Corporate Debenture,0.00
179,Multipurpose Finance Company  Limited,MPFL,Finance,"4,520,000.00"
180,NABIL BALANCED FUND-2,NBF2,Mutual Fund,"112,000,000.00"
181,Nabil Balanced Fund-3,NBF3,Mutual Fund,"125,000,000.00"
182,Nabil Bank Limited,NABIL,Commercial Banks,"184,961,868.00"
183,Nabil Debenture 2085,NBLD85,Corporate Debenture,0.00
184,Nabil Equity Fund,NEF,Mutual Fund,"125,000,000.00"
185,Nadep Laghubittiya bittya Sanstha Ltd.,NADEP,Microfinance,"4,857,600.00"
186,Narayani Development Bank Limited,NABBC,Development Banks,"2,624,676.00"
187,National Hydro Power Company Limited,NHPC,Hydro Power,"16,417,919.00"
188,National Life Insurance Co. Ltd.,NLICL,Life Insurance,"40,351,584.00"
189,National Microfinance Laghubitta Bittiya Sanstha Limited,NMFBS,Microfinance,"5,866,750.00"
190,Naya Sarathi Laghubitta Bittiya Sanstha Limited,NSLB,Microfinance,"3,033,953.00"
191,Neco Insurance Limited,NIL,Non Life Insurance,"17,498,788.00"
192,Nepal Agro Laghubitta Bittiya Sanstha Limited,NAGRO,Microfinance,"652,587.00"
193,Nepal Bangladesh Bank Limited,NBB,Commercial Banks,"100,853,998.00"
194,Nepal Bank Limited,NBL,Commercial Banks,"144,059,049.00"
195,Nepal Bitumin And Barrel Udhyog Limited,NBBU,Manufacturing And Processing,"210,680.00"
196,Nepal Credit And Commercial Bank Limited,NCCB,Commercial Banks,"111,396,781.00"
197,Nepal Doorsanchar Company Limited,NTC,Others,"180,000,000.00"
198,Nepal Film Development Company Limited,NFD,Others,"491,285.00"
199,Nepal Finance Ltd.,NFS,Finance,"8,389,439.00"
200,Nepal Hydro Developers Ltd.,NHDL,Hydro Power,"3,199,300.00"
201,Nepal Infrastructure Bank Limited,NIFRA,Investment,"216,000,000.00"
202,Nepal Insurance Co. Ltd.,NICL,Non Life Insurance,"13,789,958.00"
203,Nepal Investment Bank Limited,NIB,Commercial Banks,"183,075,414.00"
204,Nepal Khadya Udhyog Limited,NKU,Manufacturing And Processing,"90,000.00"
205,Nepal Life Insurance Co. Ltd.,NLIC,Life Insurance,"82,079,666.00"
206,Nepal Lube Oil Limited,NLO,Manufacturing And Processing,"388,599.00"
207,Nepal Reinsurance Company Limited,NRIC,Others,"116,500,000.00"
208,Nepal SBI Bank Limited,SBI,Commercial Banks,"98,258,532.00"
209,Nepal Share Markets Ltd.,NSM,Finance,"4,320,000.00"
210,Nepal Tading Limited,NTL,Tradings,"50,000.00"
211,Nepal Vanaspati Ghee Udhyog Limited,NVG,Manufacturing And Processing,"101,250.00"
212,Nepal Welfare Company Limited,NWC,Tradings,"41,000.00"
213,Nerude Laghubitta Bittiya Sanstha Limited,NLBBL,Microfinance,"6,000,000.00"
214,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,NESDO,Microfinance,"2,550,000.00"
215,Ngadi Group Power Ltd.,NGPL,Hydro Power,"17,673,310.00"
216,NIBL Pragati Fund,NIBLPF,Mutual Fund,"75,000,000.00"
217,NIBL Samriddhi Fund -2,NIBSF2,Mutual Fund,"150,000,000.00"
218,NIC Asia Balanced Fund,NICBF,Mutual Fund,"75,500,000.00"
219,NIC Asia Bank Ltd.,NICA,Commercial Banks,"115,640,056.00"
220,NIC Asia Growth Fund,NICGF,Mutual Fund,"83,520,000.00"
221,NIC ASIA Laghubitta Bittiya Sanstha Limited,NICLBSL,Microfinance,"17,394,400.00"
222,NIC ASIA Rinpatra 2088,NICD88,Corporate Debenture,0.00
223,NIC Asia Select Fund 30,NICSF,Mutual Fund,"125,000,000.00"
224,NIDC Development Bank Ltd.,NIDC,Development Banks,"2,978,784.00"
225,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,NUBL,Microfinance,"21,950,250.00"
226,NLG Insurance Company Ltd.,NLG,Non Life Insurance,"13,266,144.00"
227,NMB  Microfinance Bittiya Sanstha Ltd.,NMBMF,Microfinance,"6,558,630.00"
228,NMB 50,NMB50,Mutual Fund,"125,000,000.00"
229,NMB Bank Limited,NMB,Commercial Banks,"183,667,060.00"
230,NMB Debenture 8.50% - 2087/88,NMBD87/88,Corporate Debenture,0.00
231,NMB Energy Bond 4% - 2092/93,NMBEB92/93,Corporate Debenture,0.00
232,NMB Hybrid Fund L-1,NMBHF1,Mutual Fund,"1,000,000,000.00"
233,NRN Infrastructure and Development Limited,NRN,Investment,"12,232,117.00"
234,Nyadi Hydropower Limited,NYADI,Hydro Power,"15,000,000.00"
235,Om Development Bank Ltd.,ODBL,Development Banks,"25,151,863.00"
236,Oriental Hotels Limited,OHL,Hotels,"11,280,905.00"
237,Panchakanya Mai Hydropower Ltd,PMHPL,Hydro Power,"11,000,000.00"
238,Panchthar Power Compant Limited,PPCL,Hydro Power,"9,625,000.00"
239,Pokhara Finance Ltd.,PFL,Finance,"10,409,199.00"
240,Prabhu  Bank Limited,PRVU,Commercial Banks,"127,087,042.00"
241,Prabhu Insurance Ltd.,PRIN,Non Life Insurance,"12,897,116.00"
242,Prabhu Life Insurance Limited,PLI,Life Insurance,"20,000,000.00"
243,Prabhu Select Fund,PSF,Mutual Fund,"125,000,000.00"
244,Premier Insurance Company (Nepal) Limited,PIC,Non Life Insurance,"12,276,848.00"
245,Prime Commercial Bank Ltd.,PCBL,Commercial Banks,"186,563,229.00"
246,Prime Life Insurance Company Limited,PLIC,Life Insurance,"27,796,156.00"
247,Progressive Finance Limited,PROFL,Finance,"8,561,070.00"
248,Prudential Insurance Co. Ltd.,PICL,Non Life Insurance,"11,861,449.00"
249,Radhi Bidyut Company Ltd,RADHI,Hydro Power,"6,464,046.00"
250,Raghupati Jute Mills Limited,RJM,Manufacturing And Processing,"1,806,966.00"
251,Rairang Hydropower Development Company Ltd.,RRHP,Hydro Power,"5,600,000.00"
252,Rastra Utthan Laghubitta Sanstha Limited,RULB,Microfinance,"2,600,000.00"
253,Rastriya Beema Company Limited,RBCL,Non Life Insurance,"2,666,365.00"
254,RASUWAGADHI HYDROPOWER COMPANY LIMITED,RHPL,Hydro Power,"61,578,900.00"
255,RBB Mutual Fund 1,RMF1,Mutual Fund,"125,000,000.00"
256,Reliance Finance Ltd.,RLFL,Finance,"10,530,064.00"
257,Reliance Life Insurance Limited,RLI,Life Insurance,"21,000,000.00"
258,Ridi Hydropower Development Company Ltd.,RHPC,Hydro Power,"5,855,580.00"
259,River Falls Power Limited,RFPL,Hydro Power,"7,000,000.00"
260,RMDC Laghubitta Bittiya Sanstha Ltd.,RMDC,Microfinance,"12,410,663.00"
261,RSDC Laghubitta Bittiya Sanstha Ltd.,RSDC,Microfinance,"8,051,558.00"
262,Ru Ru Jalbidhyut Pariyojana Limited,RURU,Hydro Power,"4,484,761.00"
263,SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,SABSL,Microfinance,"2,700,000.00"
264,Sadhana Laghubitta Bittiya Sanstha Limited,SDLBSL,Microfinance,"3,212,255.00"
265,Sagarmatha Insurance Co. Ltd.,SIC,Non Life Insurance,"13,336,290.00"
266,Sahara Bikas Bank Ltd.,SHBL,Development Banks,"2,722,707.00"
267,Sahas Urja Limited,SAHAS,Hydro Power,"35,000,000.00"
268,Sahayogi Bikas Bank Limited,SBBLJ,Development Banks,"5,096,682.00"
269,Salt Trading Corporation,STC,Tradings,"2,535,312.00"
270,Samaj  Laghubittya Bittiya Sanstha Limited,SAMAJ,Microfinance,"200,000.00"
271,Samata Gharelu Laghubitta Bittiya Sanstha Limited,SMATA,Microfinance,"3,427,442.00"
272,Samjhana Finance Co. Ltd.,SFC,Finance,"225,000.00"
273,Samling Power Company Limited,SPC,Hydro Power,"5,000,000.00"
274,Samriddhi Finance Company Limited,SFCL,Finance,"7,416,449.00"
